Date,Timestamp ,Value
23-May,20200523447,26143
23-May,20200523446,26136
23-May,20200523445,26157
23-May,20200523444,26168
23-May,20200523443,26163
23-May,20200523442,26153
23-May,20200523441,26159
23-May,20200523440,26165
23-May,20200523439,26166
23-May,20200523438,26158
23-May,20200523437,26167
23-May,20200523436,26157
23-May,20200523435,26163
23-May,20200523434,26174
23-May,20200523433,26179
23-May,20200523432,26182
23-May,20200523431,26197
23-May,20200523430,26196
23-May,20200523429,26191
23-May,20200523428,26198
23-May,20200523427,26197
23-May,20200523426,26191
23-May,20200523425,26191
23-May,20200523424,26199
23-May,20200523423,26198
23-May,20200523422,26189
23-May,20200523421,26191
23-May,20200523420,26190
23-May,20200523419,26195
23-May,20200523418,26187
23-May,20200523417,26200
23-May,20200523416,26197
23-May,20200523415,26208
23-May,20200523414,26195
23-May,20200523413,26189
23-May,20200523412,26173
23-May,20200523411,26192
23-May,20200523410,26191
23-May,20200523409,26187
23-May,20200523408,26199
23-May,20200523407,26193
23-May,20200523406,26192
23-May,20200523405,26198
23-May,20200523404,26196
23-May,20200523403,26195
23-May,20200523402,26209
23-May,20200523401,26195
23-May,20200523400,26181
23-May,20200523399,26185
23-May,20200523398,26189
23-May,20200523397,26193
23-May,20200523396,26187
23-May,20200523395,26193
23-May,20200523394,26178
23-May,20200523393,26179
23-May,20200523392,26171
23-May,20200523391,26183
23-May,20200523390,26172
23-May,20200523389,26181
23-May,20200523388,26178
23-May,20200523387,26189
23-May,20200523386,26186
23-May,20200523385,26196
23-May,20200523384,26191
23-May,20200523383,26172
23-May,20200523382,26174
23-May,20200523381,26188
23-May,20200523380,26175
23-May,20200523379,26171
23-May,20200523378,26167
23-May,20200523377,26181
23-May,20200523376,26177
23-May,20200523375,26182
23-May,20200523374,26162
23-May,20200523373,26166
23-May,20200523372,26163
23-May,20200523371,26168
23-May,20200523370,26174
23-May,20200523369,26184
23-May,20200523368,26193
23-May,20200523367,26196
23-May,20200523366,26219
23-May,20200523365,26225
23-May,20200523364,26207
23-May,20200523363,26219
23-May,20200523362,26232
23-May,20200523361,26239
23-May,20200523360,26240
23-May,20200523359,26230
23-May,20200523358,26230
23-May,20200523357,26224
23-May,20200523356,26228
23-May,20200523355,26222
23-May,20200523354,26207
23-May,20200523353,26194
23-May,20200523352,26174
23-May,20200523351,26172
23-May,20200523350,26180
23-May,20200523349,26178
23-May,20200523348,26184
23-May,20200523347,26187
23-May,20200523346,26178
23-May,20200523345,26175
23-May,20200523344,26161
23-May,20200523343,26165
23-May,20200523342,26179
23-May,20200523341,26186
23-May,20200523340,26196
23-May,20200523339,26217
23-May,20200523338,26227
23-May,20200523337,26241
23-May,20200523336,26237
23-May,20200523335,26227
23-May,20200523334,26234
23-May,20200523333,26238
23-May,20200523332,26230
23-May,20200523331,26220
23-May,20200523330,26220
23-May,20200523329,26200
23-May,20200523328,26210
23-May,20200523327,26212
23-May,20200523326,26211
23-May,20200523325,26218
23-May,20200523324,26221
23-May,20200523323,26209
23-May,20200523322,26219
23-May,20200523321,26215
23-May,20200523320,26212
23-May,20200523319,26209
23-May,20200523318,26200
23-May,20200523317,26191
23-May,20200523316,26181
23-May,20200523315,26193
23-May,20200523314,26193
23-May,20200523313,26204
23-May,20200523312,26208
23-May,20200523311,26211
23-May,20200523310,26213
23-May,20200523309,26214
23-May,20200523308,26208
23-May,20200523307,26215
23-May,20200523306,26232
23-May,20200523305,26222
23-May,20200523304,26214
23-May,20200523303,26217
23-May,20200523302,26206
23-May,20200523301,26201
23-May,20200523300,26191
23-May,20200523299,26194
23-May,20200523298,26195
23-May,20200523297,26193
23-May,20200523296,26200
23-May,20200523295,26213
23-May,20200523294,26211
23-May,20200523293,26196
23-May,20200523292,26190
23-May,20200523291,26200
23-May,20200523290,26200
23-May,20200523289,26195
23-May,20200523288,26204
23-May,20200523287,26209
23-May,20200523286,26203
23-May,20200523285,26209
23-May,20200523284,26211
23-May,20200523283,26205
23-May,20200523282,26190
23-May,20200523281,26187
23-May,20200523280,26206
23-May,20200523279,26208
23-May,20200523278,26199
23-May,20200523277,26201
23-May,20200523276,26195
23-May,20200523275,26187
23-May,20200523274,26195
23-May,20200523273,26218
23-May,20200523272,26212
23-May,20200523271,26213
23-May,20200523270,26202
23-May,20200523269,26201
23-May,20200523268,26204
23-May,20200523267,26198
23-May,20200523266,26183
23-May,20200523265,26174
23-May,20200523264,26180
23-May,20200523263,26194
23-May,20200523262,26180
23-May,20200523261,26186
23-May,20200523260,26200
23-May,20200523259,26205
23-May,20200523258,26213
23-May,20200523257,26211
23-May,20200523256,26229
23-May,20200523255,26238
23-May,20200523254,26235
23-May,20200523253,26246
23-May,20200523252,26222
23-May,20200523251,26202
23-May,20200523250,26193
23-May,20200523249,26197
23-May,20200523248,26208
23-May,20200523247,26197
23-May,20200523246,26184
23-May,20200523245,26179
23-May,20200523244,26197
23-May,20200523243,26197
23-May,20200523242,26202
23-May,20200523241,26180
23-May,20200523240,26177
23-May,20200523239,26170
23-May,20200523238,26176
23-May,20200523237,26183
23-May,20200523236,26180
23-May,20200523235,26189
23-May,20200523234,26200
23-May,20200523233,26195
23-May,20200523232,26186
23-May,20200523231,26193
23-May,20200523230,26193
23-May,20200523229,26206
23-May,20200523228,26213
23-May,20200523227,26206
23-May,20200523226,26215
23-May,20200523225,26237
23-May,20200523224,26237
23-May,20200523223,26235
23-May,20200523222,26238
23-May,20200523221,26245
23-May,20200523220,26226
23-May,20200523219,26226
23-May,20200523218,26232
23-May,20200523217,26211
23-May,20200523216,26209
23-May,20200523215,26199
23-May,20200523214,26193
23-May,20200523213,26191
23-May,20200523212,26204
23-May,20200523211,26190
23-May,20200523210,26193
23-May,20200523209,26193
23-May,20200523208,26179
23-May,20200523207,26162
23-May,20200523206,26166
23-May,20200523205,26156
23-May,20200523204,26151
23-May,20200523203,26147
23-May,20200523202,26146
23-May,20200523201,26161
23-May,20200523200,26157
23-May,20200523199,26153
23-May,20200523198,26166
23-May,20200523197,26153
23-May,20200523196,26168
23-May,20200523195,26170
23-May,20200523194,26168
23-May,20200523193,26164
23-May,20200523192,26152
23-May,20200523191,26144
23-May,20200523190,26145
23-May,20200523189,26158
23-May,20200523188,26152
23-May,20200523187,26145
23-May,20200523186,26149
23-May,20200523185,26134
23-May,20200523184,26129
23-May,20200523183,26127
23-May,20200523182,26134
23-May,20200523181,26132
23-May,20200523180,26146
23-May,20200523179,26134
23-May,20200523178,26135
23-May,20200523177,26137
23-May,20200523176,26141
23-May,20200523175,26140
23-May,20200523174,26131
23-May,20200523173,26125
23-May,20200523172,26138
23-May,20200523171,26133
23-May,20200523170,26139
23-May,20200523169,26133
23-May,20200523168,26134
23-May,20200523167,26130
23-May,20200523166,26131
23-May,20200523165,26128
23-May,20200523164,26139
23-May,20200523163,26134
23-May,20200523162,26150
23-May,20200523161,26160
23-May,20200523160,26159
23-May,20200523159,26156
23-May,20200523158,26159
23-May,20200523157,26176
23-May,20200523156,26172
23-May,20200523155,26163
23-May,20200523154,26153
23-May,20200523153,26132
